name	language	k8	ML-compatible	containers	format	goal	combo	icon	docs	website
AirFlow	Language-agnostic	yes	yes	yes	Python	auto	yes	https://raw.githubusercontent.com/apache/airflow/b402f8a35633beb4a41e09365a57008c67d377e8/docs/apache-airflow/img/logos/github_repository_social_image.png	https://airflow.apache.org/docs/apache-airflow/stable/index.html	https://airflow.apache.org/
Argo	Language-agnostic	yes	yes	yes	YAML	auto	yes	https://raw.githubusercontent.com/argoproj/argo-workflows/main/docs/assets/argo.png	https://argo-workflows.readthedocs.io/en/stable/	https://argoproj.github.io/argo-workflows/
DVC	Python	no	yes	no	YAML	auto	no	https://raw.githubusercontent.com/iterative/dvc.org/2ccb7e976f5f5b0696d49a7a85c32fffe6d76ebc/static/img/logos/dvc.svg	https://dvc.org/doc	https://dvc.org/
Dagster	Python	yes-but	yes	yes	Python	auto	no	https://raw.githubusercontent.com/dagster-io/dagster/de7fc9b07557b0dfcd94a5fd0ff5aba3837003d1/docs/next/public/assets/logos/dagster-logo.svg	https://docs.dagster.io/getting-started	https://dagster.io/
Digdag	Language-agnostic	yes	yes-but	yes	YAML	auto	no	https://raw.githubusercontent.com/treasure-data/digdag/master/digdag-docs/src/_static/logo/logo-digdag-rec-wt.png	http://docs.digdag.io/	https://www.digdag.io/
Hamilton	Python	no	yes	no	Python	pipeline	yes	https://www.tryhamilton.dev/img/hamilton_logo_transparent_bkgrd.ico	https://hamilton.dagworks.io/en/latest/	https://github.com/dagworks-inc/hamilton
Kedro	Python	yes	yes-but	yes	Python	pipeline	yes	https://raw.githubusercontent.com/kedro-org/kedro-brand-identity/main/horizontal/color/kedro-horizontal-color-on-light.svg	https://docs.kedro.org/en/stable/	https://kedro.org/
Luigi	Python	yes	yes-but	yes	Python	pipeline	yes	https://raw.githubusercontent.com/spotify/luigi/master/doc/luigi.png	https://luigi.readthedocs.io/en/stable/	https://github.com/spotify/luigi
Metaflow	Python	yes-but	yes	yes	Python	pipeline	yes	https://raw.githubusercontent.com/Netflix/metaflow/7e0564cbeb480299d7ae4c382aa094ee7207f202/docs/metaflow.svg	https://docs.metaflow.org/	https://metaflow.org/
Nextflow	Language-agnostic	yes-but	yes	yes	Groovy	pipeline	yes	https://raw.githubusercontent.com/nextflow-io/trademark/26e6fbc0830b0ff2b1af9df279cd22a48f37e14d/nextflow-logo-bg-light.svg	https://www.nextflow.io/docs/latest/index.html	https://www.nextflow.io/
Pachyderm	Python	yes	yes	no	YAML	auto	no	https://www.pachyderm.com/wp-content/uploads/2021/12/PachydermFeatured.jpg	https://docs.pachyderm.com/	https://www.pachyderm.com/
Prefect	Python	yes-but	no	no	Python	auto	no	https://raw.githubusercontent.com/PrefectHQ/prefect/4bf831bf2e7f97f9fcf0f13d9ab9d3e15c804aca/ui/src/assets/logos/prefect-logo-gradient-navy.svg	https://docs.prefect.io/latest/	https://www.prefect.io/
Snakemake 	Language-agnostic	yes-but	yes	yes	Python	pipeline	yes	https://raw.githubusercontent.com/snakemake/snakemake/d99b3a0ec43f29da0f2545d9664da4233eeb5e48/docs/_static/logo-snake.svg	https://snakemake.readthedocs.io/en/stable/	https://snakemake.github.io/
Targets 	R	no	no	no	R	pipeline	yes	https://raw.githubusercontent.com/ropensci/targets/d71b987df49a63402cf416c2403ece306b5f71c1/man/figures/logo.svg	https://books.ropensci.org/targets/	https://books.ropensci.org/targets/
